run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
fmrnqwew,run-20260414_011333-fmrnqwew,roman_empire,random_set,GAT,64,3,0.022000199221437197,0.09570959237508236,-1,False,full,False,False,False,0.6670078039169312,0.6663702130317688,0.22036226093769073,,0.13017638027668,0.6670031547546387,0.13031813502311707,0.5,0.13036809861660004,0.5,64.0,13,budgeted,45,standard_focal_sets__full
hkun1qu5,run-20260414_011517-hkun1qu5,roman_empire,random_set,GAT,64,3,0.011100835542669088,0.09702393194523388,-1,False,full,False,False,False,0.6679667234420776,0.6653975248336792,0.2513740062713623,,0.03163343667984009,0.6679515242576599,0.03142966702580452,0.5,0.031441718339920044,0.5,75.0,13,budgeted,45,standard_focal_sets__full
dw8fxpqy,run-20260414_011723-dw8fxpqy,roman_empire,random_set,GAT,64,2,0.09464835424477996,0.0618347228635568,-1,False,full,False,False,False,0.6531906127929688,0.6526052951812744,0.22397883236408234,,0.08167178183794022,0.6532636284828186,0.08164047449827194,0.5388265252113342,0.08167178183794022,0.5236157774925232,53.0,13,budgeted,45,standard_focal_sets__full
k5ybbuq9,run-20260414_011903-k5ybbuq9,roman_empire,random_set,GAT,64,2,0.05440117368551797,0.051678834567834425,-1,False,full,False,False,False,0.6485689282417297,0.6417486667633057,0.28343966603279114,,0.03163343667984009,0.6486368775367737,0.03142966702580452,0.4972500205039978,0.031441718339920044,0.4989106357097626,58.0,13,budgeted,45,standard_focal_sets__full
5omy3okv,run-20260414_012115-5omy3okv,roman_empire,random_set,GAT,64,2,0.06906535436254407,0.0738511959185575,-1,False,full,False,False,False,0.6582236289978027,0.6575877666473389,0.2270614355802536,,0.06863497197628021,0.6583362221717834,0.06899195164442062,0.4846256375312805,0.06863497197628021,0.4905105233192444,55.0,13,budgeted,45,standard_focal_sets__full
dc0nj9c7,run-20260414_012254-dc0nj9c7,roman_empire,random_set,GAT,64,2,0.08493956710661345,0.050759048585558145,-1,False,full,False,False,False,0.5105908513069153,0.5084795951843262,0.14446762204170227,,0.13017638027668,0.511134922504425,0.13031813502311707,0.6735848188400269,0.13036809861660004,0.6957030296325684,81.0,13,budgeted,45,standard_focal_sets__full
g43unxys,run-20260414_012514-g43unxys,roman_empire,random_set,GAT,64,2,0.09841112634320329,0.053279532602947176,-1,False,full,False,False,False,0.6500053405761719,0.6494597792625427,0.2097027450799942,,0.13017638027668,0.6500536203384399,0.13031813502311707,0.5118822455406189,0.13036809861660004,0.5078682899475098,55.0,13,budgeted,45,standard_focal_sets__full
pft3bluy,run-20260414_012649-pft3bluy,roman_empire,random_set,GAT,128,2,0.09489094818573976,0.022487982671558323,-1,False,full,False,False,False,0.4180261790752411,0.41724762320518494,0.05420486629009247,,0.1363113522529602,0.42022567987442017,0.12878496944904327,0.43480825424194336,0.12921778857707977,0.43659427762031555,54.0,13,budgeted,45,standard_focal_sets__full
jhgus0zn,run-20260414_012828-jhgus0zn,roman_empire,random_set,GAT,128,2,0.05167948084433885,0.03610479880859967,-1,False,full,False,False,False,0.43957483768463135,0.439355731010437,0.0801146849989891,,0.06863497197628021,0.43991217017173767,0.06899195164442062,0.33146920800209045,0.06863497197628021,0.3102606534957886,58.0,13,budgeted,45,standard_focal_sets__full
zha6w80x,run-20260414_013007-zha6w80x,roman_empire,random_set,GAT,256,3,0.01569107896258063,0.09007090055674598,-1,False,full,False,False,False,0.6651120185852051,0.6625738143920898,0.24949884414672852,,0.03163343667984009,0.6651255488395691,0.03142966702580452,0.5,0.031441718339920044,0.5,63.0,13,budgeted,45,standard_focal_sets__full
