run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
7q6qmzjr,run-20260404_175644-7q6qmzjr,chameleon,random_set,GAT,64,3,0.027622012586834645,0.010717606869582235,-1,False,full,False,False,False,0.545857310295105,0.5458059310913086,0.014227695763111115,,0.372488409280777,0.5422975420951843,0.4063926935195923,0.8132836222648621,0.3695652186870575,0.7981984615325928,59.0,3,full_power_set,7,standard_focal_sets__full
8s6qf2ho,run-20260404_175701-8s6qf2ho,chameleon,random_set,GAT,128,3,0.04758858283455219,0.004832818505177164,-1,False,full,False,False,False,0.39048051834106445,0.3903980851173401,0.03689924627542496,,0.7094281315803528,0.5115721225738525,0.37899544835090637,0.6251078248023987,0.4420289993286133,0.6163244843482971,70.0,3,full_power_set,7,standard_focal_sets__full
mbaypuu0,run-20260404_175726-mbaypuu0,chameleon,random_set,GAT,128,3,0.022699671484168845,0.004933372826097551,-1,False,full,False,False,False,0.28370165824890137,0.28365275263786316,0.02983998879790306,,0.833075761795044,0.7810073494911194,0.5136986374855042,0.4392348527908325,0.5181159377098083,0.4093398153781891,64.0,3,full_power_set,7,standard_focal_sets__full
tpz04y0o,run-20260404_175744-tpz04y0o,chameleon,random_set,GAT,64,3,0.05181601159039421,0.06991742192644428,-1,False,full,False,False,False,0.6247192621231079,0.6242439150810242,0.1420065015554428,,0.372488409280777,0.6235619783401489,0.4063926935195923,0.5,0.3695652186870575,0.5,56.0,3,full_power_set,7,standard_focal_sets__full
u2weyxwg,run-20260404_175800-u2weyxwg,chameleon,random_set,GAT,256,2,0.09119537964199376,0.02038220830466013,-1,False,full,False,False,False,0.5550718307495117,0.5549607276916504,0.027139507234096527,,0.372488409280777,0.5522009134292603,0.4063926935195923,0.837020754814148,0.3695652186870575,0.8237519264221191,100.0,3,full_power_set,7,standard_focal_sets__full
8p1dfv1p,run-20260404_175826-8p1dfv1p,chameleon,random_set,GAT,256,3,0.020707967747580228,0.01884435508089104,-1,False,full,False,False,False,0.5569891929626465,0.5568784475326538,0.025992749258875847,,0.372488409280777,0.5539292693138123,0.4063926935195923,0.8378171324729919,0.3695652186870575,0.8208735585212708,58.0,3,full_power_set,7,standard_focal_sets__full
yh998zhn,run-20260404_175848-yh998zhn,chameleon,random_set,GAT,64,3,0.03696150966929151,0.0197266381248024,-1,False,full,False,False,False,0.5588861107826233,0.5587604641914368,0.031275007873773575,,0.372488409280777,0.5557695627212524,0.4063926935195923,0.7546094059944153,0.3695652186870575,0.7421899437904358,62.0,3,full_power_set,7,standard_focal_sets__full
5cj1rryq,run-20260404_175904-5cj1rryq,chameleon,random_set,GAT,256,2,0.06943996884516197,0.028919352047469548,-1,False,full,False,False,False,0.5652168393135071,0.5650448203086853,0.04374340549111366,,0.372488409280777,0.5628818273544312,0.4063926935195923,0.8392254710197449,0.3695652186870575,0.8263587951660156,61.0,3,full_power_set,7,standard_focal_sets__full
j1rzizs7,run-20260404_175930-j1rzizs7,chameleon,random_set,GAT,128,2,0.09360777956257176,0.02727515060263472,-1,False,full,False,False,False,0.5643050074577332,0.5641392469406128,0.04279248043894768,,0.372488409280777,0.5617388486862183,0.4063926935195923,0.840025782585144,0.3695652186870575,0.8253321051597595,72.0,3,full_power_set,7,standard_focal_sets__full
yiowfxzf,run-20260404_175947-yiowfxzf,chameleon,random_set,GAT,256,2,0.07475270427821507,0.06891492782237646,-1,False,full,False,False,False,0.6225787401199341,0.6221112012863159,0.1393672376871109,,0.372488409280777,0.6213679909706116,0.4063926935195923,0.5005452632904053,0.3695652186870575,0.48283010721206665,52.0,3,full_power_set,7,standard_focal_sets__full
